,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City
0,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Mi Lindo Nayarit Mariscos,Mexican Restaurant,Los Angeles
1,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Happy Donut,Donut Shop,Los Angeles
2,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Jack in the Box,Fast Food Restaurant,Los Angeles
3,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Birrieria Tlaquepaque,Mexican Restaurant,Los Angeles
4,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Birrieria Jalisco,Mexican Restaurant,Los Angeles
5,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,WINCHELL'S DONUT HOUSE,Donut Shop,Los Angeles
6,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Mi Lindo Nayarit,Seafood Restaurant,Los Angeles
7,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Pupuseria Las Champas,Seafood Restaurant,Los Angeles
8,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,SUBWAY,Sandwich Place,Los Angeles
9,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Pizza Hut,Pizza Place,Los Angeles
10,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,El Senor Taco,Mexican Restaurant,Los Angeles
11,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Boy's Burgers,Burger Joint,Los Angeles
12,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Bill's Drive In,Burger Joint,Los Angeles
13,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,el tejuinazo,Mexican Restaurant,Los Angeles
14,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Llamas Arturo,Food,Los Angeles
15,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Taqueria Acapulco No 2,Fast Food Restaurant,Los Angeles
16,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Pancho's Bakery,Bakery,Los Angeles
