,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City
0,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
1,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
2,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
3,90650,Norwalk,33.906914,-118.08339,Del Taco,Fast Food Restaurant,Whittier
4,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
5,90650,Norwalk,33.906914,-118.08339,Meccha Matcha,Tea Room,Artesia
6,90650,Norwalk,33.906914,-118.08339,7 Leaves Cafe,Coffee Shop,Artesia
7,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
8,90650,Norwalk,33.906914,-118.08339,Taqueria Los Santos,Mexican Restaurant,Whittier
9,90650,Norwalk,33.906914,-118.08339,Hironori Craft Ramen,Ramen Restaurant,Santa Fe Springs
10,90650,Norwalk,33.906914,-118.08339,Cho Dang Tofu,Korean Restaurant,Cerritos
11,90650,Norwalk,33.906914,-118.08339,Arte Cafe,French Restaurant,Cerritos
12,90650,Norwalk,33.906914,-118.08339,It's Boba Time Cafe Artesia,Bubble Tea Shop,Artesia
13,90650,Norwalk,33.906914,-118.08339,Teriyaki Express,Sushi Restaurant,Santa Fe Springs
14,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Bellflower
15,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
16,90650,Norwalk,33.906914,-118.08339,Raising Cane's Chicken Fingers,Fried Chicken Joint,Downey
17,90650,Norwalk,33.906914,-118.08339,Galaxy Hamburgers,American Restaurant,Cerritos
18,90650,Norwalk,33.906914,-118.08339,Wood Ranch BBQ & Grill,BBQ Joint,Cerritos
19,90650,Norwalk,33.906914,-118.08339,Del Taco,Fast Food Restaurant,Artesia
20,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Cerritos
21,90650,Norwalk,33.906914,-118.08339,Jollibee,Fast Food Restaurant,Cerritos
22,90650,Norwalk,33.906914,-118.08339,The Cake Korner,Bakery,Artesia
23,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
24,90650,Norwalk,33.906914,-118.08339,Rubio's Coastal Grill,Seafood Restaurant,Cerritos
25,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Santa Fe Springs
26,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Artesia
27,90650,Norwalk,33.906914,-118.08339,TGI Fridays,American Restaurant,Cerritos
28,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
29,90650,Norwalk,33.906914,-118.08339,Geezers,American Restaurant,Santa Fe Springs
30,90650,Norwalk,33.906914,-118.08339,Chipotle Mexican Grill,Mexican Restaurant,Cerritos
31,90650,Norwalk,33.906914,-118.08339,Taco Nazo,Mexican Restaurant,Bellflower
32,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
33,90650,Norwalk,33.906914,-118.08339,Yupdduk Cerritos,Korean Restaurant,Cerritos
34,90650,Norwalk,33.906914,-118.08339,Cherri's Donuts,Donut Shop,Santa Fe Springs
35,90650,Norwalk,33.906914,-118.08339,Anjappar Chettinad Restaurant,South Indian Restaurant,Artesia
36,90650,Norwalk,33.906914,-118.08339,Taqueria Dorado,Mexican Restaurant,Bellflower
37,90650,Norwalk,33.906914,-118.08339,Tastea,Bubble Tea Shop,Artesia
38,90650,Norwalk,33.906914,-118.08339,Pho Mely,Vietnamese Restaurant,Bellflower
39,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
40,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
41,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
42,90650,Norwalk,33.906914,-118.08339,Islands Restaurant,American Restaurant,Cerritos
43,90650,Norwalk,33.906914,-118.08339,Popeyes Louisiana Kitchen,Fried Chicken Joint,Bellflower
44,90650,Norwalk,33.906914,-118.08339,Tutti frutti,Frozen Yogurt Shop,N. A.
45,90650,Norwalk,33.906914,-118.08339,Lucky Thai,Thai Restaurant,Whittier
46,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
47,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
48,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
49,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
50,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
51,90650,Norwalk,33.906914,-118.08339,Del Taco,Fast Food Restaurant,Whittier
52,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
53,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
54,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
55,90650,Norwalk,33.906914,-118.08339,Meccha Matcha,Tea Room,Artesia
56,90650,Norwalk,33.906914,-118.08339,7 Leaves Cafe,Coffee Shop,Artesia
57,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
58,90650,Norwalk,33.906914,-118.08339,Hironori Craft Ramen,Ramen Restaurant,Santa Fe Springs
59,90650,Norwalk,33.906914,-118.08339,Taqueria Los Santos,Mexican Restaurant,Whittier
60,90650,Norwalk,33.906914,-118.08339,Arte Cafe,French Restaurant,Cerritos
61,90650,Norwalk,33.906914,-118.08339,Cho Dang Tofu,Korean Restaurant,Cerritos
62,90650,Norwalk,33.906914,-118.08339,It's Boba Time Cafe Artesia,Bubble Tea Shop,Artesia
63,90650,Norwalk,33.906914,-118.08339,Teriyaki Express,Sushi Restaurant,Santa Fe Springs
64,90650,Norwalk,33.906914,-118.08339,Del Taco,Fast Food Restaurant,Artesia
65,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
66,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Cerritos
67,90650,Norwalk,33.906914,-118.08339,Galaxy Hamburgers,American Restaurant,Cerritos
68,90650,Norwalk,33.906914,-118.08339,Wood Ranch BBQ & Grill,BBQ Joint,Cerritos
69,90650,Norwalk,33.906914,-118.08339,Raising Cane's Chicken Fingers,Fried Chicken Joint,Downey
70,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Bellflower
71,90650,Norwalk,33.906914,-118.08339,Jollibee,Fast Food Restaurant,Cerritos
72,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
73,90650,Norwalk,33.906914,-118.08339,The Cake Korner,Bakery,Artesia
74,90650,Norwalk,33.906914,-118.08339,Taco Nazo,Mexican Restaurant,Bellflower
75,90650,Norwalk,33.906914,-118.08339,Rubio's Coastal Grill,Seafood Restaurant,Cerritos
76,90650,Norwalk,33.906914,-118.08339,Geezers,American Restaurant,Santa Fe Springs
77,90650,Norwalk,33.906914,-118.08339,TGI Fridays,American Restaurant,Cerritos
78,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
79,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Santa Fe Springs
80,90650,Norwalk,33.906914,-118.08339,Chipotle Mexican Grill,Mexican Restaurant,Cerritos
81,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Artesia
82,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
