,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City
0,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
2,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
10,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
13,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
14,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
18,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
20,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
22,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
23,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
25,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
26,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
28,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
34,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
35,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
38,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
41,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
50,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
51,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
54,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
62,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
63,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
68,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
70,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
72,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
73,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
75,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
76,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
77,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
84,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
85,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
88,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
91,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
100,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
102,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
103,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
108,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
114,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
118,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
120,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
122,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
123,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
125,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
126,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
127,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
134,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
135,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
138,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
141,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
150,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
151,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
154,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
159,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
164,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
168,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
170,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
172,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
173,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
175,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
176,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
178,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
184,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
185,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
188,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
191,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
200,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
201,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
208,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
213,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
215,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
218,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
220,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
222,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
223,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
225,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
226,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
228,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
234,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
235,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
238,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
241,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
250,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
252,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
258,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
261,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
262,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
268,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
270,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
