,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City,PostalCode
0,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk,90650
1,90650,Norwalk,33.906914,-118.08339,Douglas Charbroiled Burgers,American Restaurant,Norwalk,90650
2,90650,Norwalk,33.906914,-118.08339,Noemi's Mexican Food,Mexican Restaurant,Norwalk,90650
3,90650,Norwalk,33.906914,-118.08339,Los Compadres Mexican Restaurant & Sports Bar,Mexican Restaurant,Norwalk,90650
4,90650,Norwalk,33.906914,-118.08339,Tacos Los Gueros,Mexican Restaurant,Norwalk,90650
5,90650,Norwalk,33.906914,-118.08339,Señor Baja,Mexican Restaurant,Norwalk,90650
6,90650,Norwalk,33.906914,-118.08339,Kung Pao Bowl,Chinese Restaurant,Norwalk,90650
7,90650,Norwalk,33.906914,-118.08339,The Habit Burger Grill,Burger Joint,Norwalk,90650
8,90650,Norwalk,33.906914,-118.08339,Ho Ho China,Chinese Restaurant,Norwalk,90650
9,90650,Norwalk,33.906914,-118.08339,Grill Town,Korean Restaurant,Norwalk,90650
10,90650,Norwalk,33.906914,-118.08339,Rancho Grande,Mexican Restaurant,Norwalk,90650
11,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk,90650
12,90650,Norwalk,33.906914,-118.08339,Outback Steakhouse,Steakhouse,Norwalk,90650
13,90650,Norwalk,33.906914,-118.08339,Original Tommy's Hamburgers,Burger Joint,Norwalk,90650
14,90650,Norwalk,33.906914,-118.08339,Albert's Mexican Food,Mexican Restaurant,Norwalk,90650
15,90650,Norwalk,33.906914,-118.08339,Wendy’s,Fast Food Restaurant,Norwalk,90650
16,90650,Norwalk,33.906914,-118.08339,Ana's Bionicos,Mexican Restaurant,Norwalk,90650
17,90650,Norwalk,33.906914,-118.08339,Rainbow Donuts,Donut Shop,Norwalk,90650
19,90650,Norwalk,33.906914,-118.08339,Candle Light Bakery,Bakery,Downey-Norwalk,90650
20,90650,Norwalk,33.906914,-118.08339,Jimmy John's,Sandwich Place,Norwalk,90650
21,90650,Norwalk,33.906914,-118.08339,Shakey's Pizza Parlor,Pizza Place,Norwalk,90650
23,90650,Norwalk,33.906914,-118.08339,Wienerschnitzel,Fast Food Restaurant,Norwalk,90650
25,90650,Norwalk,33.906914,-118.08339,Wingstop,Wings Joint,Los Angeles,90650-3915
26,90650,Norwalk,33.906914,-118.08339,Vchos Truck,Food Truck,Los Angeles,90650
27,90650,Norwalk,33.906914,-118.08339,Renu Nakorn Restaurant,Thai Restaurant,Norwalk,90650
33,90650,Norwalk,33.906914,-118.08339,Panda Express,Chinese Restaurant,Norwalk,90650
37,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk,90650
43,90650,Norwalk,33.906914,-118.08339,SUBWAY,Sandwich Place,Norwalk,90650
47,90650,Norwalk,33.906914,-118.08339,Home Style Donuts,Donut Shop,Norwalk,90650
48,90650,Norwalk,33.906914,-118.08339,Angelina's Famous Pizza,Pizza Place,Norwalk,90650
49,90650,Norwalk,33.906914,-118.08339,SUBWAY,Sandwich Place,Norwalk,90650
55,90650,Norwalk,33.906914,-118.08339,SUBWAY,Sandwich Place,Norwalk,90650
56,90650,Norwalk,33.906914,-118.08339,Subway,Sandwich Place,Norwalk,90650
57,90650,Norwalk,33.906914,-118.08339,Marquez - Norwalk,Mexican Restaurant,Norwalk,90650
58,90650,Norwalk,33.906914,-118.08339,Randy's Donuts,Donut Shop,Norwalk,90650
63,90650,Norwalk,33.906914,-118.08339,Little Caesars Pizza,Pizza Place,Norwalk,90650
64,90650,Norwalk,33.906914,-118.08339,Pizza Hut,Pizza Place,Norwalk,90650
65,90650,Norwalk,33.906914,-118.08339,Panda King Chinese Restaurant,Chinese Restaurant,Norwalk,90650
67,90650,Norwalk,33.906914,-118.08339,Domino's Pizza,Pizza Place,Norwalk,90650
68,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk,90650
69,90650,Norwalk,33.906914,-118.08339,El Taco Rico,Taco Place,Norwalk,90650
70,90650,Norwalk,33.906914,-118.08339,Applebee's Grill + Bar,American Restaurant,Norwalk,90650
71,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk,90650
72,90650,Norwalk,33.906914,-118.08339,SUBWAY,Sandwich Place,Norwalk,90650
74,90650,Norwalk,33.906914,-118.08339,Pizza Hut,Pizza Place,Norwalk,90650
75,90650,Norwalk,33.906914,-118.08339,El Pollo Loco,Fast Food Restaurant,Norwalk,90650
76,90650,Norwalk,33.906914,-118.08339,IHOP,Breakfast Spot,Norwalk,90650
77,90650,Norwalk,33.906914,-118.08339,China Bowl Express & Hawaiian BBQ,Asian Restaurant,Norwalk,90650
78,90650,Norwalk,33.906914,-118.08339,Little Caesars Pizza,Pizza Place,Norwalk,90650
80,90650,Norwalk,33.906914,-118.08339,Sonoma Grill Double Tree Hotel,American Restaurant,Norwalk,90650
81,90650,Norwalk,33.906914,-118.08339,Hibachi Grill Buffet,Buffet,Norwalk,90650
83,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk,90650
84,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Norwalk,90650
85,90650,Norwalk,33.906914,-118.08339,Baja California Bar / Grill,Mexican Restaurant,Norwalk,90650
91,90650,Norwalk,33.906914,-118.08339,Long John Silver's,Fish & Chips Shop,Norwalk,90650
94,90650,Norwalk,33.906914,-118.08339,Mr. Rosewood Family Restaurant,American Restaurant,Norwalk,90650
96,90650,Norwalk,33.906914,-118.08339,El Pollo Loco,Fast Food Restaurant,Norwalk,90650
98,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk,90650
99,90650,Norwalk,33.906914,-118.08339,KFC,Fried Chicken Joint,Norwalk,90650
101,90650,Norwalk,33.906914,-118.08339,Burger King,Fast Food Restaurant,Norwalk,90650
102,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk,90650
105,90650,Norwalk,33.906914,-118.08339,Jim's Burgers,Mexican Restaurant,Norwalk,90650
106,90650,Norwalk,33.906914,-118.08339,Hello Kitty Cafe,Food Truck,Los Angeles,90650
107,90650,Norwalk,33.906914,-118.08339,midori 4,Sushi Restaurant,Norwalk,90650
108,90650,Norwalk,33.906914,-118.08339,on + on,Asian Restaurant,Norwalk,90650
109,90650,Norwalk,33.906914,-118.08339,Village Liquor,American Restaurant,Downey-Norwalk,90650
110,90650,Norwalk,33.906914,-118.08339,Lutong-Bahay,Asian Restaurant,Norwalk,90650
111,90650,Norwalk,33.906914,-118.08339,Luisa & Son Bake Shop,Bakery,Norwalk,90650
112,90650,Norwalk,33.906914,-118.08339,Taco Joe Mexican Grill,Mexican Restaurant,Norwalk,90650
113,90650,Norwalk,33.906914,-118.08339,WOK California,Chinese Restaurant,Norwalk,90650
114,90650,Norwalk,33.906914,-118.08339,Kaunlaran Oriental and Fish Market,Food,Norwalk,90650
115,90650,Norwalk,33.906914,-118.08339,Kaunlaran,Asian Restaurant,Downey-Norwalk,90650
116,90650,Norwalk,33.906914,-118.08339,DK's Donuts,Donut Shop,Norwalk,90650
124,90650,Norwalk,33.906914,-118.08339,Kiyokos Teriyaki Truck,Food Truck,N. A.,90650
126,90650,Norwalk,33.906914,-118.08339,Casa Adelita,Mexican Restaurant,Norwalk,90650
127,90650,Norwalk,33.906914,-118.08339,Norwalk DinDinAGoGo,Food Court,Norwalk,90650
128,90650,Norwalk,33.906914,-118.08339,Dippity Donuts,Donut Shop,Norwalk,90650
129,90650,Norwalk,33.906914,-118.08339,Tummy Stuffers,Sandwich Place,Norwalk,90650
130,90650,Norwalk,33.906914,-118.08339,Bud's Submarine,Sandwich Place,Norwalk,90650
131,90650,Norwalk,33.906914,-118.08339,leannes restaurant,Chinese Restaurant,Cerritos,90650
139,90650,Norwalk,33.906914,-118.08339,La Mirada DinDinAGoGo,Food Truck,Norwalk,90650
140,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk,90650
