,Venue Category,Count
77,Mexican Restaurant,822
89,Pizza Place,574
42,Fast Food Restaurant,499
23,Chinese Restaurant,405
9,Bakery,349
99,Sandwich Place,341
2,American Restaurant,318
18,Café,294
112,Sushi Restaurant,266
14,Burger Joint,258
45,Food,239
67,Japanese Restaurant,233
65,Italian Restaurant,225
118,Thai Restaurant,211
48,Food Truck,210
5,Asian Restaurant,206
94,Restaurant,200
34,Donut Shop,199
71,Korean Restaurant,187
102,Seafood Restaurant,163
114,Taco Place,154
12,Breakfast Spot,143
76,Mediterranean Restaurant,132
28,Deli / Bodega,126
50,Fried Chicken Joint,118
61,Indian Restaurant,113
122,Vietnamese Restaurant,97
7,BBQ Joint,97
78,Middle Eastern Restaurant,84
83,New American Restaurant,81
120,Vegetarian / Vegan Restaurant,70
73,Latin American Restaurant,69
30,Diner,67
111,Steakhouse,57
105,Snack Place,55
90,Poke Place,54
51,Gastropub,53
123,Wings Joint,51
49,French Restaurant,49
8,Bagel Shop,42
93,Ramen Restaurant,42
84,Noodle House,41
97,Salad Place,40
46,Food Court,36
58,Hot Dog Joint,35
54,Greek Restaurant,31
43,Filipino Restaurant,27
107,South American Restaurant,25
16,Burrito Place,23
56,Hawaiian Restaurant,20
109,Southern / Soul Food Restaurant,20
27,Cuban Restaurant,18
11,Brazilian Restaurant,17
13,Buffet,16
29,Dim Sum Restaurant,15
17,Cafeteria,15
19,Cajun / Creole Restaurant,14
36,Dumpling Restaurant,13
31,Donburi Restaurant,13
113,Szechuan Restaurant,13
88,Peruvian Restaurant,13
115,Taiwanese Restaurant,11
41,Falafel Restaurant,11
22,Caribbean Restaurant,11
72,Kosher Restaurant,10
103,Shabu-Shabu Restaurant,9
110,Spanish Restaurant,9
87,Persian Restaurant,9
21,Cantonese Restaurant,9
10,Bistro,8
25,Comfort Food Restaurant,7
52,German Restaurant,7
44,Fish & Chips Shop,7
26,Creperie,7
85,North Indian Restaurant,6
62,Indonesian Restaurant,6
4,Argentinian Restaurant,6
59,Hotpot Restaurant,5
47,Food Stand,5
55,Halal Restaurant,5
63,Irish Pub,5
37,Eastern European Restaurant,5
70,Korean BBQ Restaurant,5
82,Moroccan Restaurant,3
106,Soup Place,3
117,Tex-Mex Restaurant,3
74,Lebanese Restaurant,3
116,Tapas Restaurant,3
15,Burmese Restaurant,3
69,Kebab Restaurant,3
3,Andhra Restaurant,2
108,South Indian Restaurant,2
38,Empanada Restaurant,2
104,Shanghai Restaurant,2
40,Ethiopian Restaurant,2
101,Scandinavian Restaurant,2
53,Gluten-free Restaurant,2
75,Malay Restaurant,2
92,Portuguese Restaurant,2
6,Australian Restaurant,2
1,African Restaurant,2
119,Udon Restaurant,2
81,Mongolian Restaurant,2
66,Japanese Curry Restaurant,2
68,Jewish Restaurant,2
24,Churrascaria,1
33,Dongbei Restaurant,1
121,Venezuelan Restaurant,1
32,Doner Restaurant,1
20,Cambodian Restaurant,1
100,Satay Restaurant,1
35,Dosa Place,1
39,English Restaurant,1
98,Salvadoran Restaurant,1
96,Russian Restaurant,1
95,Romanian Restaurant,1
57,Himalayan Restaurant,1
91,Polish Restaurant,1
60,Indian Chinese Restaurant,1
64,Israeli Restaurant,1
86,Paella Restaurant,1
80,Molecular Gastronomy Restaurant,1
79,Modern European Restaurant,1
0,Afghan Restaurant,1
